ClusterId,ClusterName,CTV3Code,Description
CAN,Codes for relevant malignancies,Byu82,"[X]Malignant neoplasm of male genital organ, unspecified"
CAN,Codes for relevant malignancies,Byu9.,[X]Malignant neoplasm of urinary tract
CAN,Codes for relevant malignancies,Byu90,"[X]Malignant neoplasm of urinary organ, unspecified"
CAN,Codes for relevant malignancies,ByuA.,"[X]Malignant neoplasm of eye, brain and other parts of cent"
CAN,Codes for relevant malignancies,ByuA0,[X]Malignant neoplasm/other and unspecified cranial nerves
CAN,Codes for relevant malignancies,ByuA1,"[X]Malignant neoplasm of central nervous system, unspecified"
CAN,Codes for relevant malignancies,ByuA2,"[X]Malignant neoplasm of meninges, unspecified"
CAN,Codes for relevant malignancies,ByuA3,"[X]Malig neopl, overlap lesion brain & other part of CNS"
CAN,Codes for relevant malignancies,ByuB.,[X]Malignant neoplasm of thyroid and other endocrine glands
CAN,Codes for relevant malignancies,ByuB0,"[X]Malignant neoplasm-pluriglandular involvement,unspecified"
CAN,Codes for relevant malignancies,ByuB1,"[X]Malignant neoplasm of endocrine gland, unspecified"
CAN,Codes for relevant malignancies,ByuC.,"[X]Malignant neoplasm of ill-defined, secondary and unspeci"
CAN,Codes for relevant malignancies,ByuC0,[X]Malignant neoplasm of other specified sites
CAN,Codes for relevant malignancies,ByuC1,[X]Malignant neoplasm/overlap lesion/other+ill-defined sites
CAN,Codes for relevant malignancies,ByuC2,[X]2ndry+unspcf malignant neoplasm lymph nodes/multi regions
CAN,Codes for relevant malignancies,ByuC3,[X]Secondary malignant neoplasm/oth+unspc respiratory organs
CAN,Codes for relevant malignancies,ByuC4,[X]Secondary malignant neoplasm/oth+unspcfd digestive organs
CAN,Codes for relevant malignancies,ByuC5,[X]2ndry malignant neoplasm/bladder+oth+unsp urinary organs
CAN,Codes for relevant malignancies,ByuC6,[X]2ndry malignant neoplasm/oth+unspec parts/nervous system
CAN,Codes for relevant malignancies,ByuC7,[X]Secondary malignant neoplasm of other specified sites
CAN,Codes for relevant malignancies,ByuC8,[X]Malignant neoplasm without specification of site
CAN,Codes for relevant malignancies,ByuD.,"[X]Malignant neoplasms of lymphoid, haematopoietic and rela"
CAN,Codes for relevant malignancies,ByuD0,[X]Other Hodgkin's disease
CAN,Codes for relevant malignancies,ByuD1,[X]Other types of follicular non-Hodgkin's lymphoma
CAN,Codes for relevant malignancies,ByuD2,[X]Other types of diffuse non-Hodgkin's lymphoma
CAN,Codes for relevant malignancies,ByuD3,[X]Other specified types of non-Hodgkin's lymphoma
CAN,Codes for relevant malignancies,ByuD4,[X]Other malignant immunoproliferative diseases
CAN,Codes for relevant malignancies,ByuD5,[X]Other lymphoid leukaemia
CAN,Codes for relevant malignancies,ByuD6,[X]Other myeloid leukaemia
CAN,Codes for relevant malignancies,ByuD7,[X]Other monocytic leukaemia
CAN,Codes for relevant malignancies,ByuD8,[X]Other specified leukaemias
CAN,Codes for relevant malignancies,ByuD9,[X]Other leukaemia of unspecified cell type
CAN,Codes for relevant malignancies,ByuDA,"[X]Oth spcf mal neoplsm/lymphoid,haematopoietic+rltd tissue"
CAN,Codes for relevant malignancies,ByuDB,"[X]Mal neoplasm/lymphoid,haematopoietic+related tissu,unspcf"
CAN,Codes for relevant malignancies,ByuDC,"[X]Diffuse non-Hodgkin's lymphoma, unspecified"
CAN,Codes for relevant malignancies,ByuDD,[X]Oth and unspecif peripheral & cutaneous T-cell lymphomas
CAN,Codes for relevant malignancies,ByuDE,[X]Unspecified B-cell non-Hodgkin's lymphoma
CAN,Codes for relevant malignancies,ByuH6,[X]Neoplasm/uncertn+unknwn behavior/oth myelodysplastic synd
CAN,Codes for relevant malignancies,ByuHC,"[X]Refractory anaemia, unspecified"
CAN,Codes for relevant malignancies,ByuHD,"[X]Myelodysplastic syndrome, unspecified"
CAN,Codes for relevant malignancies,C1z2.,Carcinoid syndrome
CAN,Codes for relevant malignancies,C3330,Waldenstrom's macroglobulinaemia
CAN,Codes for relevant malignancies,C3331,Alpha heavy chain disease
CAN,Codes for relevant malignancies,C3332,Gamma heavy chain disease
CAN,Codes for relevant malignancies,C37y1,Eosinophilic granuloma
CAN,Codes for relevant malignancies,C37y6,"Histiocytosis X , unspecified"
CAN,Codes for relevant malignancies,C37y7,"Histiocytosis, unspecified"
CAN,Codes for relevant malignancies,D3y0.,Essential thrombocytosis
CAN,Codes for relevant malignancies,G753.,Lethal midline granuloma
CAN,Codes for relevant malignancies,K5510,Anaplasia of cervix
CAN,Codes for relevant malignancies,N3309,Osteoporosis in multiple myelomatosis
CAN,Codes for relevant malignancies,PGyy.,"(Oth spec oth anomal musc, tendon & fascia) or (Ayalas dis)"
CAN,Codes for relevant malignancies,X000b,Malignant meningitis
CAN,Codes for relevant malignancies,X00Z6,Malignant tumour of eyelid
CAN,Codes for relevant malignancies,X00Z8,Squamous cell carcinoma of eyelid
CAN,Codes for relevant malignancies,X00ZA,Sebaceous adenocarcinoma of eyelid
CAN,Codes for relevant malignancies,X00ZB,Malignant melanoma of eyelid
CAN,Codes for relevant malignancies,X00ZC,Kaposi's sarcoma of eyelid
CAN,Codes for relevant malignancies,X00eS,Retinoblastoma
CAN,Codes for relevant malignancies,X00eT,Lymphoma of retina
CAN,Codes for relevant malignancies,X2032,Pulmonary tumour embolism
CAN,Codes for relevant malignancies,X20CK,Refractory anaemia
CAN,Codes for relevant malignancies,X20E9,Langerhans' cell histiocytosis
CAN,Codes for relevant malignancies,X20FX,Essential thrombocythaemia
CAN,Codes for relevant malignancies,X309C,Malignant cystic tumour of exocrine pancreas
CAN,Codes for relevant malignancies,X309D,Cystadenocarcinoma of pancreas
CAN,Codes for relevant malignancies,X30AD,Malignant ascites
CAN,Codes for relevant malignancies,X30L7,Leukaemic infiltrate of kidney
CAN,Codes for relevant malignancies,X30L8,Lymphoma of kidney
CAN,Codes for relevant malignancies,X40B6,Gestational trophoblastic tumour
CAN,Codes for relevant malignancies,X40B9,Placental site trophoblastic tumour
CAN,Codes for relevant malignancies,X40OZ,Multiple endocrine neoplasia syndrome type 1
CAN,Codes for relevant malignancies,X40On,Carcinoid crisis
CAN,Codes for relevant malignancies,X507N,Malignant acanthosis nigricans
CAN,Codes for relevant malignancies,X50BR,Lymphomatoid papulosis
CAN,Codes for relevant malignancies,X70LK,African Burkitt's lymphoma
CAN,Codes for relevant malignancies,X77nQ,Neuroendocrine carcinoma
CAN,Codes for relevant malignancies,X77nR,Merkel cell carcinoma
CAN,Codes for relevant malignancies,X77nT,Carcinoid bronchial adenoma
CAN,Codes for relevant malignancies,X77nX,Somatostatinoma
CAN,Codes for relevant malignancies,X77nj,Klatskin's tumour
CAN,Codes for relevant malignancies,X77nk,Fibrolamellar hepatocellular carcinoma
CAN,Codes for relevant malignancies,X77oW,Pigmented dermatofibrosarcoma protuberans
CAN,Codes for relevant malignancies,X77oX,Myxoid dermatofibrosarcoma
CAN,Codes for relevant malignancies,X77q4,Peripheral neuroectodermal tumour
CAN,Codes for relevant malignancies,X789P,Ayala's disease
CAN,Codes for relevant malignancies,X78H1,Carcinoma of vermilion border of upper lip
CAN,Codes for relevant malignancies,X78H6,Carcinoma of vermilion border of lower lip
CAN,Codes for relevant malignancies,X78HC,Carcinoma of fraenum of lip
CAN,Codes for relevant malignancies,X78HI,Carcinoma of fraenum of upper lip
CAN,Codes for relevant malignancies,X78HO,Carcinoma of fraenum of lower lip
CAN,Codes for relevant malignancies,X78HT,Carcinoma of commissure of lip
CAN,Codes for relevant malignancies,X78Hf,Malig tumour anterior two-thirds of tongue- lateral margin
CAN,Codes for relevant malignancies,X78Hj,Malignant tumour of tip of tongue
CAN,Codes for relevant malignancies,X78Hp,Carcinoma of fraenum linguae
CAN,Codes for relevant malignancies,X78Hw,Malignant tumour of glossoepiglottic fold
CAN,Codes for relevant malignancies,X78Hz,Carcinoma of lingual tonsil
CAN,Codes for relevant malignancies,X78I5,Carcinoma of upper gum
CAN,Codes for relevant malignancies,X78IA,Carcinoma of lower gum
CAN,Codes for relevant malignancies,X78IG,Carcinoma of anterior part of floor of mouth
CAN,Codes for relevant malignancies,X78IL,Carcinoma of lateral part of floor of mouth
CAN,Codes for relevant malignancies,X78IR,Carcinoma of hard palate
CAN,Codes for relevant malignancies,X78IW,Carcinoma of soft palate
CAN,Codes for relevant malignancies,X78Ib,Carcinoma of uvula
CAN,Codes for relevant malignancies,X78Ig,Squamous cell carcinoma of buccal mucosa
CAN,Codes for relevant malignancies,X78In,Carcinoma of upper buccal sulcus
CAN,Codes for relevant malignancies,X78Is,Carcinoma of lower buccal sulcus
CAN,Codes for relevant malignancies,X78Iy,Carcinoma of upper labial sulcus
CAN,Codes for relevant malignancies,X78J3,Carcinoma of lower labial sulcus
CAN,Codes for relevant malignancies,X78J8,Carcinoma of retromolar area
CAN,Codes for relevant malignancies,X78JC,Malignant tumour of anterior pillar of fauces
CAN,Codes for relevant malignancies,X78JJ,Carcinoma of parotid gland
CAN,Codes for relevant malignancies,X78JO,Carcinoma of submandibular gland
CAN,Codes for relevant malignancies,X78JS,Carcinoma of sublingual gland
CAN,Codes for relevant malignancies,X78JV,Malignant tumour of minor salivary gland
CAN,Codes for relevant malignancies,X78Jp,Malignant tumour of nasal skeleton
CAN,Codes for relevant malignancies,X78Jt,Malignant tumour of inferior turbinate
CAN,Codes for relevant malignancies,X78Jw,Malignant tumour of middle turbinate
CAN,Codes for relevant malignancies,X78K0,Malignant tumour posterior margin of nasal septum & choanae
CAN,Codes for relevant malignancies,X78LA,Malignant tumour of inferior surface of soft palate
CAN,Codes for relevant malignancies,X78LV,Malignant tumour of vocal cord
CAN,Codes for relevant malignancies,X78LZ,Malignant tumour of anterior commissure
CAN,Codes for relevant malignancies,X78Ld,Malignant tumour of posterior commissure
CAN,Codes for relevant malignancies,X78Li,Malignant tumour of suprahyoid epiglottis
CAN,Codes for relevant malignancies,X78Ll,Malignant tumour of infrahyoid epiglottis
CAN,Codes for relevant malignancies,X78Lo,Malignant tumour of aryepiglottic fold - laryngeal aspect
CAN,Codes for relevant malignancies,X78Lr,Malignant tumour of arytenoid
CAN,Codes for relevant malignancies,X78Lu,Malignant tumour of false cord
CAN,Codes for relevant malignancies,X78Lx,Malignant tumour of laryngeal ventricle
CAN,Codes for relevant malignancies,X78M7,Malignant tumour of neck
CAN,Codes for relevant malignancies,X78M9,Malignant tumour of parapharyngeal space
CAN,Codes for relevant malignancies,X78MH,Carcinoma of cervical part of oesophagus
CAN,Codes for relevant malignancies,X78MM,Carcinoma of thoracic part of oesophagus
CAN,Codes for relevant malignancies,X78MR,Carcinoma of abdominal part of oesophagus
CAN,Codes for relevant malignancies,X78MW,Carcinoma of upper third of oesophagus
CAN,Codes for relevant malignancies,X78Mb,Carcinoma of middle third of oesophagus
CAN,Codes for relevant malignancies,X78Mg,Carcinoma of lower third of oesophagus
CAN,Codes for relevant malignancies,X78Mm,Carcinoma of cardia
CAN,Codes for relevant malignancies,X78Mr,Carcinoma of fundus of stomach
CAN,Codes for relevant malignancies,X78Mw,Carcinoma of body of stomach
CAN,Codes for relevant malignancies,X78N1,Carcinoma of pyloric antrum
CAN,Codes for relevant malignancies,X78N6,Carcinoma of pylorus
CAN,Codes for relevant malignancies,X78NB,Carcinoma of lesser curve of stomach
CAN,Codes for relevant malignancies,X78NG,Carcinoma of greater curve of stomach
CAN,Codes for relevant malignancies,X78NL,Carcinoma of duodenum
CAN,Codes for relevant malignancies,X78OK,Adenocarcinoma of rectum
CAN,Codes for relevant malignancies,X78OP,Malignant tumour of anus
CAN,Codes for relevant malignancies,X78OW,Malignant tumour of cloacogenic zone
CAN,Codes for relevant malignancies,X78OX,Malignant tumour of anorectal junction
CAN,Codes for relevant malignancies,X78Oz,Sarcoma of liver
CAN,Codes for relevant malignancies,X78P0,Angiosarcoma of liver
CAN,Codes for relevant malignancies,X78PC,Extrahepatic bile duct carcinoma
CAN,Codes for relevant malignancies,X78PX,Carcinoma of ampulla of Vater
CAN,Codes for relevant malignancies,X78Pf,Malignant tumour of endocrine pancreas
CAN,Codes for relevant malignancies,X78Pg,Carcinoma of endocrine pancreas
CAN,Codes for relevant malignancies,X78Pq,Malignant tumour of peritoneum
CAN,Codes for relevant malignancies,X78Q1,Adenoid cystic carcinoma of trachea
CAN,Codes for relevant malignancies,X78Q2,Squamous cell carcinoma of trachea
CAN,Codes for relevant malignancies,X78Q7,Malignant tumour of bronchus
CAN,Codes for relevant malignancies,X78Q8,Squamous cell carcinoma of bronchus
CAN,Codes for relevant malignancies,X78QF,Malignant tumour of lung parenchyma
CAN,Codes for relevant malignancies,X78QG,Adenocarcinoma of lung
CAN,Codes for relevant malignancies,X78QI,Carcinoid tumour of lung
CAN,Codes for relevant malignancies,X78QJ,Carcinoma of lung parenchyma
CAN,Codes for relevant malignancies,X78QK,Large cell carcinoma of lung
CAN,Codes for relevant malignancies,X78QL,Clear cell carcinoma of lung
CAN,Codes for relevant malignancies,X78QM,Giant cell carcinoma of lung
CAN,Codes for relevant malignancies,X78QN,Small cell carcinoma of lung
CAN,Codes for relevant malignancies,X78QO,Oat cell carcinoma of lung
CAN,Codes for relevant malignancies,X78QP,Squamous cell carcinoma of lung
CAN,Codes for relevant malignancies,X78QQ,Epithelioid haemangioendothelioma of lung
CAN,Codes for relevant malignancies,X78QR,Lymphomatoid granulomatosis of lung
CAN,Codes for relevant malignancies,X78QS,Non-small cell lung cancer
CAN,Codes for relevant malignancies,X78QT,Pancoast tumour
CAN,Codes for relevant malignancies,X78Qc,Malignant mesothelioma of pleura
CAN,Codes for relevant malignancies,X78Ql,Malignant tumour of mediastinum
CAN,Codes for relevant malignancies,X78RT,Spindle cell squamous carcinoma of skin
CAN,Codes for relevant malignancies,X78Sd,Malignant skin tumour with eccrine differentiation
CAN,Codes for relevant malignancies,X78Se,Eccrine porocarcinoma
CAN,Codes for relevant malignancies,X78Sf,Sweat gland adenocarcinoma
CAN,Codes for relevant malignancies,X78Sh,Adenoid cystic eccrine carcinoma
CAN,Codes for relevant malignancies,X78Si,Microcystic adnexal carcinoma
CAN,Codes for relevant malignancies,X78Sj,Mucoepidermoid carcinoma of skin
CAN,Codes for relevant malignancies,X78Sk,Mucinous eccrine carcinoma
CAN,Codes for relevant malignancies,X78T3,Malignant skin tumour with apocrine differentiation
CAN,Codes for relevant malignancies,X78TC,Superficial spreading malignant melanoma of skin
CAN,Codes for relevant malignancies,X78TD,Nodular malignant melanoma of skin
CAN,Codes for relevant malignancies,X78TE,Acral lentiginous malignant melanoma of skin
CAN,Codes for relevant malignancies,X78TF,Malignant melanoma arising in intradermal naevus
CAN,Codes for relevant malignancies,X78TG,Malignant melanoma arising in congenital naevus
CAN,Codes for relevant malignancies,X78Td,Cutaneous fibrosarcoma
CAN,Codes for relevant malignancies,X78U0,Peripheral neuroepithelioma
CAN,Codes for relevant malignancies,X78U7,Cutaneous leiomyosarcoma
CAN,Codes for relevant malignancies,X78Ui,Proliferating angioendotheliomatosis
CAN,Codes for relevant malignancies,X78Ul,Angiosarcoma of skin
CAN,Codes for relevant malignancies,X78Um,Lymphangiosarcoma of skin
CAN,Codes for relevant malignancies,X78Uq,Malignant haemangiopericytoma of skin
CAN,Codes for relevant malignancies,X78Ut,Epithelioid cell sarcoma of skin
CAN,Codes for relevant malignancies,X78VL,Naevoid basal cell carcinoma syndrome
CAN,Codes for relevant malignancies,X78VQ,Malignant tumour of mesothelial tissue
CAN,Codes for relevant malignancies,X78VS,Malignant mesothelioma of peritoneum
CAN,Codes for relevant malignancies,X78VT,Malignant mesothelioma of pericardium
CAN,Codes for relevant malignancies,X78Vi,Malignant lipomatous tumour
CAN,Codes for relevant malignancies,X78Vj,Liposarcoma
CAN,Codes for relevant malignancies,X78Vm,Malignant tumour of muscle
CAN,Codes for relevant malignancies,X78WF,Malignant tumour of soft tissue of abdomen
CAN,Codes for relevant malignancies,X78WM,Malignant tumour of breast
CAN,Codes for relevant malignancies,X78WN,Carcinoma of breast
CAN,Codes for relevant malignancies,X78WO,Scirrhous carcinoma of breast
CAN,Codes for relevant malignancies,X78WP,Inflammatory carcinoma of breast
CAN,Codes for relevant malignancies,X78WQ,Cancer en cuirasse
CAN,Codes for relevant malignancies,X78WS,Familial cancer of breast
CAN,Codes for relevant malignancies,X78WT,Malignant phyllodes tumour of breast
CAN,Codes for relevant malignancies,X78Wh,Malignant epithelial tumour of ovary
CAN,Codes for relevant malignancies,X78Wi,Serous papillary cystadenocarcinoma ovary
CAN,Codes for relevant malignancies,X78Wj,Mucinous cystadenocarcinoma of ovary
CAN,Codes for relevant malignancies,X78Wk,Endometrioid carcinoma ovary
CAN,Codes for relevant malignancies,X78Wl,Clear cell tumour of ovary
CAN,Codes for relevant malignancies,X78Wn,Mixed epithelial tumour of ovary
CAN,Codes for relevant malignancies,X78Wo,Undifferentiated carcinoma of ovary
CAN,Codes for relevant malignancies,X78Wy,Malignant sex cord tumour of ovary
CAN,Codes for relevant malignancies,X78Wz,Malignant granulosa cell tumour of ovary
CAN,Codes for relevant malignancies,X78X1,Granulosa cell tumour of ovary
CAN,Codes for relevant malignancies,X78X8,Malignant germ cell tumour of ovary
CAN,Codes for relevant malignancies,X78X9,Choriocarcinoma of ovary
CAN,Codes for relevant malignancies,X78XA,Immature teratoma of ovary
CAN,Codes for relevant malignancies,X78XB,Embryonal carcinoma of ovary
CAN,Codes for relevant malignancies,X78XD,Dysgerminoma of ovary
CAN,Codes for relevant malignancies,X78XH,Endodermal sinus tumour of ovary
CAN,Codes for relevant malignancies,X78XN,Sarcoma of uterus
CAN,Codes for relevant malignancies,X78XO,Endometrial carcinoma
CAN,Codes for relevant malignancies,X78Xf,Squamous cell carcinoma of cervix
CAN,Codes for relevant malignancies,X78Xg,Adenocarcinoma of cervix
CAN,Codes for relevant malignancies,X78Xh,Adenosquamous carcinoma of cervix
CAN,Codes for relevant malignancies,X78Xj,Carcinoma of cervix stage 0
CAN,Codes for relevant malignancies,X78Xq,Carcinoma of vagina
CAN,Codes for relevant malignancies,X78Xw,Squamous cell carcinoma of vulva
CAN,Codes for relevant malignancies,X78Xx,Malignant melanoma of vulva
CAN,Codes for relevant malignancies,X78Xy,Sarcoma of vulva
CAN,Codes for relevant malignancies,X78Y1,Gestational choriocarcinoma
CAN,Codes for relevant malignancies,X78Y6,Carcinoma of prostate
CAN,Codes for relevant malignancies,X78YK,Carcinoma of glans penis
CAN,Codes for relevant malignancies,X78Yb,Regressed malignant testicular tumour
CAN,Codes for relevant malignancies,X78Yx,Clear cell carcinoma of kidney
CAN,Codes for relevant malignancies,X78Yy,Cystadenocarcinoma of kidney
CAN,Codes for relevant malignancies,X78Yz,Papillary cystadenocarcinoma of kidney
CAN,Codes for relevant malignancies,X78Z0,Sarcoma of kidney
CAN,Codes for relevant malignancies,X78ZS,Malignant tumour of trigone of bladder
CAN,Codes for relevant malignancies,X78Zc,Malignant tumour of urethral stump
CAN,Codes for relevant malignancies,X78Zo,Astrocytoma of brain
CAN,Codes for relevant malignancies,X78Zq,Oligodendroglioma of brain
CAN,Codes for relevant malignancies,X78a2,Astrocytoma of spinal cord
CAN,Codes for relevant malignancies,X78a4,Oligodendroglioma of spinal cord
CAN,Codes for relevant malignancies,X78aB,Pituitary carcinoma
CAN,Codes for relevant malignancies,X78aY,Malignant tumour of meninges
CAN,Codes for relevant malignancies,X78ac,Malignant tumour of olfactory tract
CAN,Codes for relevant malignancies,X78af,Malignant tumour of optic nerve and sheath
CAN,Codes for relevant malignancies,X78ag,Malignant tumour of optic nerve
CAN,Codes for relevant malignancies,X78ah,Malignant astrocytoma of optic nerve
CAN,Codes for relevant malignancies,X78ai,Malignant tumour of optic nerve sheath
CAN,Codes for relevant malignancies,X78aj,Malignant meningioma of optic nerve sheath
CAN,Codes for relevant malignancies,X78ap,Malignant tumour of acoustic vestibular nerve
CAN,Codes for relevant malignancies,X78as,Malignant tumour of spinal nerve and sheath
CAN,Codes for relevant malignancies,X78av,Malignant tumour of peripheral nerve
CAN,Codes for relevant malignancies,X78b0,Adenoid cystic carcinoma of lacrimal gland
CAN,Codes for relevant malignancies,X78b1,Adenocarcinoma of lacrimal gland
CAN,Codes for relevant malignancies,X78b2,Carcinoma in pleomorphic adenoma of lacrimal gland
CAN,Codes for relevant malignancies,X78b3,Mucoepidermoid tumour of lacrimal gland
CAN,Codes for relevant malignancies,X78b8,Liposarcoma of orbit
CAN,Codes for relevant malignancies,X78b9,Rhabdomyosarcoma of orbit
CAN,Codes for relevant malignancies,X78bA,Malignant haemangiopericytoma of orbit
CAN,Codes for relevant malignancies,X78bB,Malignant fibrous histiocytoma of orbit
CAN,Codes for relevant malignancies,X78bM,Squamous cell carcinoma of conjunctiva
CAN,Codes for relevant malignancies,X78bN,Malignant melanoma of conjunctiva
CAN,Codes for relevant malignancies,X78bU,Squamous cell carcinoma of cornea
CAN,Codes for relevant malignancies,X78bV,Malignant melanoma of cornea
CAN,Codes for relevant malignancies,X78bc,Malignant melanoma of iris
CAN,Codes for relevant malignancies,X78bj,Medulloepithelioma of ciliary body
CAN,Codes for relevant malignancies,X78bk,Malignant melanoma of ciliary body
CAN,Codes for relevant malignancies,X78bl,Adenocarcinoma of pigmented epithelium of ciliary body
CAN,Codes for relevant malignancies,X78bm,Adenocarcinoma of non-pigmented epithelium of ciliary body
CAN,Codes for relevant malignancies,X78bw,Malignant melanoma of choroid
CAN,Codes for relevant malignancies,X78cP,Follicular thyroid carcinoma
CAN,Codes for relevant malignancies,X78cQ,Papillary thyroid carcinoma
CAN,Codes for relevant malignancies,X78cR,Mixed follicular and papillary thyroid carcinoma
CAN,Codes for relevant malignancies,X78cS,Anaplastic thyroid carcinoma
CAN,Codes for relevant malignancies,X78cT,Medullary thyroid carcinoma
CAN,Codes for relevant malignancies,X78ca,Adrenal carcinoma
CAN,Codes for relevant malignancies,X78ci,Parathyroid carcinoma
CAN,Codes for relevant malignancies,X78dW,Malignant pinealoma
CAN,Codes for relevant malignancies,X78e2,Leukaemia
CAN,Codes for relevant malignancies,X78e6,Malignant tumour of spleen
CAN,Codes for relevant malignancies,X78e9,Malignant tumour of unknown origin
CAN,Codes for relevant malignancies,X78eB,Multiple malignancy
CAN,Codes for relevant malignancies,X78eE,Malignant tumour of head and neck
CAN,Codes for relevant malignancies,X78eH,Malignant tumour of face
CAN,Codes for relevant malignancies,X78eL,Malignant tumour of axilla
CAN,Codes for relevant malignancies,X78eV,Malignant tumour of upper limb
CAN,Codes for relevant malignancies,X78eY,Malignant tumour of lower limb
CAN,Codes for relevant malignancies,X78ef,Malignant tumour
CAN,Codes for relevant malignancies,X78eg,Carcinoma of genitourinary organ
CAN,Codes for relevant malignancies,X78eh,Sarcoma of bone and connective tissue
CAN,Codes for relevant malignancies,X78ej,"Carcinoma of lip, oral cavity and pharynx"
CAN,Codes for relevant malignancies,X78ek,"Malignant tumour of oral cavity, lips, salivary glands"
CAN,Codes for relevant malignancies,X78el,Squamous cell carcinoma of lip
CAN,Codes for relevant malignancies,X78es,Malignant tumour of oral cavity
CAN,Codes for relevant malignancies,X78fC,Malignant tumour of salivary gland
CAN,Codes for relevant malignancies,X78fH,"Malignant tumour of ear, nose and throat"
CAN,Codes for relevant malignancies,X78fI,Malignant tumour of nasal cavity and nasopharynx
CAN,Codes for relevant malignancies,X78fK,Malignant tumour of lateral nasal wall
CAN,Codes for relevant malignancies,X78fN,Malignant tumour of nasal sinuses
CAN,Codes for relevant malignancies,X78fO,Malignant tumour of pharynx
CAN,Codes for relevant malignancies,X78g0,Carcinoma of respiratory tract and intrathoracic organs
CAN,Codes for relevant malignancies,X78g1,Malignant tumour of digestive organ
CAN,Codes for relevant malignancies,X78g2,"Malignant tumour of oesophagus, stomach and duodenum"
CAN,Codes for relevant malignancies,X78g3,Carcinoma of oesophagus
CAN,Codes for relevant malignancies,X78gA,Carcinoma of stomach
CAN,Codes for relevant malignancies,X78gK,Malignant tumour of intestine
CAN,Codes for relevant malignancies,X78gL,Malignant tumour of small intestine
CAN,Codes for relevant malignancies,X78gM,Carcinoma of caecum
CAN,Codes for relevant malignancies,X78gN,Malignant tumour of large intestine
CAN,Codes for relevant malignancies,X78gO,Adenocarcinoma of colon
CAN,Codes for relevant malignancies,X78gQ,Malignant tumour of anus and anal canal
CAN,Codes for relevant malignancies,X78gS,Squamous cell carcinoma of anal margin
CAN,Codes for relevant malignancies,X78gY,Carcinoma gallbladder
CAN,Codes for relevant malignancies,X78ga,Carcinoma common bile duct
CAN,Codes for relevant malignancies,X78gb,Malignant polyp of biliary tract
CAN,Codes for relevant malignancies,X78gc,Malignant tumour of exocrine pancreas
CAN,Codes for relevant malignancies,X78gd,Carcinoma of pancreas
CAN,Codes for relevant malignancies,X78gp,Malignant neoplasm of carpal bones
CAN,Codes for relevant malignancies,X78gq,Malignant neoplasm of metacarpal bones
CAN,Codes for relevant malignancies,X78gr,Malignant neoplasm of metacarpal bones of foot
CAN,Codes for relevant malignancies,X78h0,Malignant tumour of epidermal appendage
CAN,Codes for relevant malignancies,X78h1,Malignant neoplasm of sebaceous gland
CAN,Codes for relevant malignancies,X78h7,Malignant neoplasm of sweat gland
CAN,Codes for relevant malignancies,X78ha,Kaposi's sarcoma of skin
CAN,Codes for relevant malignancies,X78hk,Malignant infiltration of skin
CAN,Codes for relevant malignancies,X78hl,Cutaneous lymphoma
CAN,Codes for relevant malignancies,X78hm,Mycosis fungoides of skin
CAN,Codes for relevant malignancies,X78hn,Sezary's disease of skin
CAN,Codes for relevant malignancies,X78hp,Angioendotheliomatosis
CAN,Codes for relevant malignancies,X78hq,Malignant tumour of mesothelial and soft tissue
CAN,Codes for relevant malignancies,X78i1,Malignant tumour of soft tissue of upper limb
CAN,Codes for relevant malignancies,X78i2,Malignant tumour of soft tissue of lower limb
CAN,Codes for relevant malignancies,X78iC,Malignant tumour of female genital organ
CAN,Codes for relevant malignancies,X78id,Malignant tumour of male genital organ
CAN,Codes for relevant malignancies,X78if,Malignant tumour of penis
CAN,Codes for relevant malignancies,X78io,Teratoma of testis
CAN,Codes for relevant malignancies,X78ip,Seminoma of testis
CAN,Codes for relevant malignancies,X78it,Malignant tumour of urinary tract
CAN,Codes for relevant malignancies,X78iu,Malignant tumour of kidney
CAN,Codes for relevant malignancies,X78j1,Carcinoma of bladder
CAN,Codes for relevant malignancies,X78j2,Transitional cell carcinoma of bladder
CAN,Codes for relevant malignancies,X78j3,Adenocarcinoma of bladder
CAN,Codes for relevant malignancies,X78j4,Squamous cell carcinoma of bladder
CAN,Codes for relevant malignancies,X78j7,Malignant tumour of nervous system
CAN,Codes for relevant malignancies,X78jJ,Malignant tumour of pituitary and hypothalamus
CAN,Codes for relevant malignancies,X78je,Kaposi's sarcoma of conjunctiva
CAN,Codes for relevant malignancies,X78ji,Kaposi's sarcoma of cornea
CAN,Codes for relevant malignancies,X78jy,Malignant tumour of endocrine gland
CAN,Codes for relevant malignancies,X78kS,Secondary carcinoma of respiratory and/or digestive systems
CAN,Codes for relevant malignancies,X78kT,Metastasis to respiratory and intrathoracic organ
CAN,Codes for relevant malignancies,X78kU,Metastasis to trachea
CAN,Codes for relevant malignancies,X78kV,Metastasis to bronchus
CAN,Codes for relevant malignancies,X78kX,Secondary lymphangitic carcinoma
CAN,Codes for relevant malignancies,X78kY,Lymphangitis carcinomatosa
CAN,Codes for relevant malignancies,X78kZ,Metastasis to heart
CAN,Codes for relevant malignancies,X78ka,Metastasis to thymus
CAN,Codes for relevant malignancies,X78kb,Metastasis to gastrointestinal tract
CAN,Codes for relevant malignancies,X78kc,Metastasis to small intestine
CAN,Codes for relevant malignancies,X78kd,Metastasis to pancreas
CAN,Codes for relevant malignancies,X78ke,Metastasis to spleen
CAN,Codes for relevant malignancies,X78kf,Metastasis to bone marrow
